plugin,project,scope_group,fresh_install_default,01_Notification policy,02_Action cards,03_Blocker recovery,04_Reward communication,05_Plugin next,06_Global next hub,07_Pinned focus,08_First-success checklist,09_Progression preview,10_Streak guidance,11_Focused welcome,12_Community contribution,adopted_or_existing_scope,followup,source_evidence,plugin_documentation
EconomyGuardian,plugins:server-management:economyguardian,Staff / infrastructure,Dormant,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/server-management/economyguardian/src/main/java/com/onemb/cmiapi/economyguardian/EconomyGuardianPlugin.java,docs/plugins/economyguardian.md
EndCrystals,plugins:server-management:endcrystals,Player-facing boundary,Enabled,Not applicable,Not applicable,Candidate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Protection/moderation feature with possible player-facing denied-action feedback; no progression providers.,"Review only useful, appropriate recovery copy for blocked actions; retain required safety/moderation feedback.",plugins/server-management/endcrystals/src/main/java/com/onemb/cmiapi/endcrystals/EndCrystalsPlugin.java,docs/plugins/endcrystals.md
Hoppers,plugins:server-management:hoppers,Staff / infrastructure,Enabled,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/server-management/hoppers/src/main/java/com/onemb/cmiapi/hoppers/HoppersPlugin.java,docs/plugins/hoppers.md
PluginVersions,plugins:server-management:pluginversions,Staff / infrastructure,Enabled,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/server-management/pluginversions/src/main/java/com/onemb/cmiapi/pluginversions/PluginVersionsPlugin.java,docs/plugins/pluginversions.md
Potions,plugins:server-management:potions,Staff / infrastructure,Dormant,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/server-management/potions/src/main/java/com/onemb/cmiapi/potions/PotionsPlugin.java,docs/plugins/potions.md
SchedulerCheck,plugins:server-management:schedulercheck,Staff / infrastructure,Dormant,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/server-management/schedulercheck/src/main/java/com/onemb/cmiapi/schedulercheck/SchedulerCheckPlugin.java,docs/plugins/schedulercheck.md
SparkReviewer,plugins:server-management:sparkreviewer,Staff / infrastructure,Dormant,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/server-management/sparkreviewer/src/main/java/com/onemb/cmiapi/sparkreviewer/SparkReviewerPlugin.java,docs/plugins/sparkreviewer.md
StartupDoctor,plugins:server-management:startupdoctor,Staff / infrastructure,Dormant,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/server-management/startupdoctor/src/main/java/com/onemb/cmiapi/startupdoctor/StartupDoctorPlugin.java,docs/plugins/startupdoctor.md
UpdateSmoke,plugins:server-management:updatesmoke,Staff / infrastructure,Dormant,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/server-management/updatesmoke/src/main/java/com/onemb/cmiapi/updatesmoke/UpdateSmokePlugin.java,docs/plugins/updatesmoke.md
Upgrade,plugins:server-management:upgrade,Staff / infrastructure,Dormant,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/server-management/upgrade/src/main/java/com/onemb/cmiapi/upgrade/UpgradePlugin.java,docs/plugins/upgrade.md
WarpAudit,plugins:server-management:warpaudit,Staff / infrastructure,Dormant,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/server-management/warpaudit/src/main/java/com/onemb/cmiapi/warpaudit/WarpAuditPlugin.java,docs/plugins/warpaudit.md
WorldSnapshot,plugins:server-management:worldsnapshot,Staff / infrastructure,Dormant,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/server-management/worldsnapshot/src/main/java/com/onemb/cmiapi/worldsnapshot/WorldSnapshotPlugin.java,docs/plugins/worldsnapshot.md
WorthDrift,plugins:server-management:worthdrift,Staff / infrastructure,Enabled,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/server-management/worthdrift/src/main/java/com/onemb/cmiapi/worthdrift/WorthDriftPlugin.java,docs/plugins/worthdrift.md
WorthHelper,plugins:server-management:worthhelper,Staff / infrastructure,Enabled,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/server-management/worthhelper/src/main/java/com/onemb/cmiapi/worthhelper/WorthHelperPlugin.java,docs/plugins/worthhelper.md
ContentGuard,plugins:staff:contentguard,Player-facing boundary,Dormant,Not applicable,Not applicable,Candidate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Protection/moderation feature with possible player-facing denied-action feedback; no progression providers.,"Review only useful, appropriate recovery copy for blocked actions; retain required safety/moderation feedback.",plugins/staff/contentguard/src/main/java/com/onemb/cmiapi/contentguard/ContentGuardPlugin.java,docs/plugins/contentguard.md
Profile,plugins:staff:profile,Staff / infrastructure,Enabled,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/staff/profile/src/main/java/com/onemb/cmiapi/profile/ProfilePlugin.java,docs/plugins/profile.md
StaffCenter,plugins:staff:staffcenter,Staff / infrastructure,Dormant,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/staff/staffcenter/src/main/java/com/onemb/cmiapi/staffcenter/StaffCenterPlugin.java,docs/plugins/staffcenter.md
TeamMsg,plugins:staff:teammsg,Staff / infrastructure,Enabled,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/staff/teammsg/src/main/java/com/onemb/cmiapi/teammsg/TeamMsgPlugin.java,docs/plugins/teammsg.md
WarningLens,plugins:staff:warninglens,Staff / infrastructure,Dormant,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/staff/warninglens/src/main/java/com/onemb/cmiapi/warninglens/WarningLensPlugin.java,docs/plugins/warninglens.md
